,my_x,my_y,my_az,enemy_x,enemy_y,u,v,theta,sin_theta,est_enemy_u,est_enemy_v,est_enemy_theta,est_enemy_sin_theta,est_enemy_x,est_enemy_y,diff_enemy_x,diff_enemy_y,diff_enemy_u,diff_enemy_v,diff_enemy_theta,diff_enemy_sin_theta
72,-1.300052,0.000272,0.184558,0.896444,-0.004764,0.012111,2.196468,-0.315922,-0.005514,0.039842,2.220549,-1.027924,-0.017940,0.920614,-0.032417,0.024170,0.027653,0.027731,0.024081,0.712002,0.012426
73,-1.300052,0.000274,0.186221,0.874389,-0.004808,0.012149,2.174413,-0.320130,-0.005587,0.041781,2.155996,-1.110206,-0.019376,0.856068,-0.034500,0.018321,0.029692,0.029632,0.018417,0.790076,0.013789
74,-1.300052,0.000276,0.188413,0.845467,-0.004878,0.012209,2.145490,-0.326050,-0.005691,0.035071,2.124734,-0.945644,-0.016504,0.824786,-0.027808,0.020681,0.022930,0.022862,0.020756,0.619594,0.010813
75,-1.300053,0.000279,0.190454,0.818509,-0.004955,0.012276,2.118533,-0.332005,-0.005795,0.044228,2.124734,-1.192490,-0.020811,0.824816,-0.036886,0.006307,0.031931,0.031952,0.006201,0.860485,0.015016
76,-1.300053,0.000281,0.191966,0.798493,-0.005013,0.012325,2.098516,-0.336506,-0.005873,0.044879,2.155996,-1.192490,-0.020811,0.856081,-0.037374,0.057588,0.032361,0.032554,0.057480,0.855984,0.014938
77,-1.300053,0.000282,0.193307,0.780698,-0.005062,0.012364,2.080721,-0.340460,-0.005942,0.035071,2.124734,-0.945644,-0.016504,0.824787,-0.027620,0.044089,0.022558,0.022707,0.044013,0.605184,0.010562
78,-1.300054,0.000284,0.195009,0.758186,-0.005115,0.012404,2.058210,-0.345302,-0.006027,0.034566,2.094134,-0.945644,-0.016504,0.794185,-0.027154,0.035999,0.022039,0.022162,0.035924,0.600342,0.010477
79,-1.300054,0.000286,0.196691,0.736020,-0.005196,0.012472,2.036043,-0.350956,-0.006125,0.040002,2.064182,-1.110206,-0.019376,0.764253,-0.032630,0.028233,0.027434,0.027530,0.028139,0.759250,0.013251
80,-1.300054,0.000289,0.199017,0.705296,-0.005307,0.012562,2.005318,-0.358902,-0.006264,0.039434,2.034868,-1.110206,-0.019376,0.734939,-0.032077,0.029643,0.026770,0.026872,0.029550,0.751304,0.013112
81,-1.300055,0.000291,0.201494,0.672476,-0.005422,0.012650,1.972499,-0.367438,-0.006413,0.038334,1.978107,-1.110206,-0.019376,0.678175,-0.031086,0.005699,0.025664,0.025684,0.005608,0.742768,0.012963
82,-1.300055,0.000293,0.202667,0.656963,-0.005465,0.012680,1.956985,-0.371244,-0.006479,0.039434,2.034868,-1.110206,-0.019376,0.734940,-0.031943,0.077977,0.026478,0.026754,0.077883,0.738962,0.012897
83,-1.300055,0.000295,0.204369,0.634559,-0.005562,0.012758,1.934581,-0.377830,-0.006594,0.041176,1.978107,-1.192490,-0.020811,0.678186,-0.033825,0.043627,0.028263,0.028418,0.043526,0.814660,0.014217
84,-1.300056,0.000297,0.206412,0.607592,-0.005680,0.012849,1.907614,-0.385929,-0.006736,0.034517,1.923758,-1.027924,-0.017940,0.623814,-0.027290,0.016222,0.021610,0.021668,0.016144,0.641995,0.011204
85,-1.300056,0.000300,0.208834,0.575537,-0.005819,0.012955,1.875558,-0.395757,-0.006907,0.034517,1.923758,-1.027924,-0.017940,0.623815,-0.027205,0.048278,0.021386,0.021562,0.048200,0.632167,0.011033
86,-1.300057,0.000302,0.210745,0.550273,-0.005914,0.013022,1.850295,-0.403224,-0.007038,0.036771,1.897461,-1.110206,-0.019376,0.597526,-0.029490,0.047253,0.023576,0.023749,0.047166,0.706982,0.012338
87,-1.300057,0.000303,0.211956,0.534345,-0.005999,0.013088,1.834366,-0.408792,-0.007135,0.040007,1.797861,-1.274777,-0.022247,0.497940,-0.033053,0.036405,0.027054,0.026919,0.036505,0.865985,0.015112
88,-1.300057,0.000307,0.215401,0.488874,-0.006235,0.013267,1.788894,-0.424927,-0.007416,0.036273,1.871733,-1.110206,-0.019376,0.571799,-0.028929,0.082925,0.022694,0.023006,0.082839,0.685279,0.011960
89,-1.300058,0.000309,0.216934,0.468573,-0.006338,0.013343,1.768593,-0.432266,-0.007544,0.037424,1.797861,-1.192490,-0.020811,0.497932,-0.030308,0.029359,0.023970,0.024081,0.029268,0.760224,0.013267
90,-1.300058,0.000311,0.218789,0.444091,-0.006450,0.013421,1.744110,-0.440889,-0.007695,0.037424,1.797861,-1.192490,-0.020811,0.497933,-0.030248,0.053842,0.023798,0.024003,0.053751,0.751601,0.013116
91,-1.300058,0.000313,0.220910,0.416172,-0.006621,0.013551,1.716191,-0.452398,-0.007896,0.032258,1.797861,-1.027924,-0.017940,0.497914,-0.025013,0.081742,0.018392,0.018707,0.081670,0.575526,0.010044
92,-1.300059,0.000316,0.222936,0.389426,-0.006782,0.013672,1.689445,-0.463650,-0.008092,0.031836,1.774306,-1.027924,-0.017940,0.474357,-0.024616,0.084931,0.017834,0.018164,0.084861,0.564274,0.009848
93,-1.300059,0.000317,0.224470,0.369131,-0.006903,0.013759,1.669149,-0.472299,-0.008243,0.039921,1.685145,-1.357066,-0.023683,0.385229,-0.033001,0.016098,0.026098,0.026162,0.015996,0.884767,0.015440
94,-1.300059,0.000319,0.225720,0.352595,-0.006996,0.013826,1.652612,-0.479322,-0.008366,0.035526,1.706696,-1.192490,-0.020811,0.406764,-0.028483,0.054169,0.021487,0.021700,0.054084,0.713168,0.012445
95,-1.300060,0.000322,0.228486,0.316216,-0.007229,0.013996,1.616233,-0.496161,-0.008660,0.038469,1.728733,-1.274777,-0.022247,0.428813,-0.031253,0.112597,0.024024,0.024473,0.112500,0.778616,0.013587
96,-1.300060,0.000324,0.230551,0.289080,-0.007418,0.014136,1.589096,-0.509683,-0.008896,0.036123,1.623307,-1.274777,-0.022247,0.323379,-0.029267,0.034299,0.021849,0.021987,0.034211,0.765094,0.013351
97,-1.300061,0.000327,0.232768,0.267231,-0.007583,0.014277,1.567247,-0.521933,-0.009109,0.035256,1.584331,-1.274777,-0.022247,0.284400,-0.028492,0.017169,0.020909,0.020979,0.017084,0.752844,0.013138
98,-1.300061,0.000328,0.234265,0.257913,-0.007673,0.014371,1.557928,-0.528506,-0.009224,0.033791,1.623307,-1.192490,-0.020811,0.323371,-0.026825,0.065458,0.019152,0.019420,0.065379,0.663984,0.011587
99,-1.300061,0.000330,0.235876,0.251905,-0.007742,0.014461,1.551920,-0.533877,-0.009318,0.034426,1.547065,-1.274777,-0.022247,0.247133,-0.027727,0.004772,0.019985,0.019965,0.004855,0.740900,0.012929
