,my_x,my_y,enemy_x,enemy_y,circle_x,circle_y,circle_r
1180,0.460570,0.309846,0.002911,1.300424,600,101,17
1181,0.460182,0.310313,0.002913,1.300424,551,108,17
1182,0.459832,0.310785,0.002916,1.300425,494,105,7
1183,0.459514,0.311276,0.002918,1.300425,474,110,13
1184,0.459213,0.311806,0.002920,1.300426,417,111,15
1185,0.458829,0.312624,0.002924,1.300427,389,112,15
1186,0.458669,0.313033,0.002926,1.300427,311,112,16
1187,0.458551,0.313375,0.002927,1.300427,276,111,16
1188,0.458398,0.313901,0.002929,1.300428,278,109,13
1189,0.458182,0.314860,0.002933,1.300428,206,105,12
1190,0.458304,0.314476,0.002935,1.300429,199,110,15
1191,0.458510,0.313928,0.002938,1.300429,241,112,15
1192,0.458667,0.313572,0.002939,1.300430,274,111,14
1193,0.459021,0.312853,0.002942,1.300430,311,111,15
1194,0.459047,0.312789,0.002944,1.300431,359,111,14
1195,0.457258,0.315959,0.002947,1.300431,385,109,7
1196,0.456801,0.316805,0.002949,1.300432,393,108,13
1197,0.456561,0.317298,0.002951,1.300432,375,105,6
1198,0.456343,0.317826,0.002954,1.300433,346,112,5
1199,0.456171,0.318324,0.002956,1.300433,294,109,6
1200,0.455814,0.319632,0.002959,1.300434,277,111,15
1201,0.455609,0.320568,0.002961,1.300434,203,110,15
1202,0.455487,0.321281,0.002963,1.300435,181,107,16
1203,0.455437,0.321660,0.002965,1.300435,118,105,16
1204,0.455395,0.322875,0.002968,1.300436,94,104,17
1205,0.455380,0.324261,0.002970,1.300436,49,98,11
1206,0.455347,0.324884,0.002973,1.300437,23,99,18
1207,0.455352,0.324588,0.002974,1.300437,28,101,18
1208,0.455422,0.323674,0.002977,1.300438,45,104,14
1209,0.455498,0.323177,0.002980,1.300438,81,102,16
1210,0.455620,0.322608,0.002982,1.300439,130,104,14
1211,0.455763,0.322098,0.002985,1.300439,174,111,13
1212,0.455868,0.321781,0.002986,1.300440,216,111,13
1213,0.456128,0.321131,0.002989,1.300440,262,106,6
1214,0.456319,0.320728,0.002991,1.300441,297,112,5
1215,0.456408,0.320558,0.002994,1.300441,324,108,14
1216,0.453758,0.324994,0.002997,1.300442,373,113,13
1217,0.446810,0.335640,0.002999,1.300442,423,106,13
1218,0.437093,0.349764,0.003001,1.300443,445,110,13
1219,0.426145,0.365221,0.003004,1.300443,465,102,14
1220,0.416564,0.376172,0.003005,1.300444,474,102,16
1221,0.402208,0.392231,0.003009,1.300445,507,101,13
1222,0.394463,0.402768,0.003011,1.300445,375,102,14
1223,0.385132,0.416813,0.003014,1.300446,218,100,16
1224,0.382178,0.420933,0.003016,1.300446,88,90,8
1225,0.382151,0.421509,0.003017,1.300446,1,85,17
1237,0.382016,0.415225,0.003046,1.300453,8,80,6
1238,0.382085,0.412820,0.003049,1.300453,39,84,18
1239,0.382206,0.410831,0.003051,1.300454,69,88,19
1240,0.382460,0.408180,0.003054,1.300454,87,91,18
1241,0.382668,0.406563,0.003056,1.300455,118,92,18
1242,0.382625,0.406753,0.003059,1.300455,148,93,18
1243,0.382496,0.407783,0.003060,1.300456,147,92,17
1244,0.382071,0.412403,0.003063,1.300456,135,92,16
1245,0.381551,0.416490,0.003066,1.300457,90,90,18
1246,0.381456,0.417924,0.003067,1.300457,36,86,19
1247,0.381625,0.420498,0.003070,1.300458,4,80,5
1258,0.381168,0.415449,0.003096,1.300463,8,82,18
1259,0.381230,0.412862,0.003099,1.300464,35,85,18
1260,0.381394,0.410299,0.003101,1.300464,69,88,17
1261,0.381610,0.408128,0.003103,1.300465,96,91,17
1262,0.381936,0.405719,0.003106,1.300465,110,90,18
1263,0.382312,0.403545,0.003108,1.300466,147,92,18
1264,0.382721,0.401578,0.003111,1.300466,176,98,15
1265,0.383253,0.399405,0.003113,1.300467,199,92,6
1266,0.383187,0.399445,0.003115,1.300467,231,98,17
1267,0.382969,0.400205,0.003118,1.300468,240,95,6
1268,0.382152,0.403866,0.003120,1.300468,227,98,17
1269,0.380804,0.407745,0.003123,1.300469,219,96,13
1270,0.379861,0.410612,0.003125,1.300470,151,92,18
1271,0.379694,0.413319,0.003128,1.300470,117,91,17
1272,0.379722,0.412654,0.003129,1.300470,76,89,18
1273,0.379885,0.410190,0.003132,1.300471,68,87,19
1274,0.380079,0.408249,0.003134,1.300471,99,89,17
1275,0.380464,0.405444,0.003137,1.300472,127,92,17
1276,0.380849,0.403278,0.003139,1.300473,146,92,17
1277,0.381237,0.401446,0.003141,1.300473,174,99,14
1278,0.381743,0.399392,0.003144,1.300473,207,95,17
1279,0.382359,0.397236,0.003146,1.300474,227,94,15
1280,0.383095,0.394953,0.003149,1.300475,259,98,6
1281,0.383917,0.392669,0.003151,1.300475,284,97,15
1282,0.384980,0.390018,0.003154,1.300476,306,98,16
1283,0.385786,0.388181,0.003156,1.300476,333,101,16
1284,0.386991,0.385669,0.003159,1.300477,341,99,16
1285,0.387640,0.384451,0.003161,1.300477,382,96,7
1286,0.388085,0.383506,0.003163,1.300478,403,101,16
1287,0.387174,0.385184,0.003166,1.300478,417,99,15
1288,0.385640,0.388341,0.003167,1.300479,409,104,13
1289,0.381968,0.396672,0.003170,1.300479,362,104,13
1290,0.378043,0.402197,0.003173,1.300480,321,96,5
1291,0.375830,0.407546,0.003175,1.300480,243,101,15
1292,0.374899,0.417736,0.003177,1.300481,161,91,5
1293,0.374447,0.425969,0.003180,1.300481,44,86,18
1306,0.373367,0.415587,0.003211,1.300488,9,85,16
1307,0.373380,0.413899,0.003213,1.300488,26,83,19
1308,0.373407,0.412909,0.003215,1.300489,27,79,6
1309,0.373686,0.407937,0.003217,1.300489,72,90,18
1310,0.374809,0.395276,0.003220,1.300490,98,91,15
1311,0.377269,0.379193,0.003222,1.300490,130,93,15
1312,0.383830,0.348173,0.003225,1.300491,187,100,13
1313,0.389473,0.323344,0.003228,1.300492,216,99,17
1314,0.395120,0.298591,0.003230,1.300492,228,101,6
1315,0.402572,0.265880,0.003232,1.300493,230,107,15
1316,0.409183,0.236813,0.003235,1.300493,232,106,11
1317,0.413699,0.216924,0.003236,1.300494,231,113,14
1318,0.421472,0.182744,0.003239,1.300494,234,119,11
1319,0.428974,0.149683,0.003242,1.300495,238,121,13
1320,0.435242,0.122021,0.003244,1.300495,239,123,12
1321,0.440463,0.098984,0.003246,1.300496,239,124,12
1322,0.448980,0.061372,0.003249,1.300496,243,127,13
1323,0.454967,0.034885,0.003251,1.300497,245,129,13
1324,0.460043,0.012398,0.003253,1.300497,245,133,11
1325,0.467315,-0.019774,0.003256,1.300498,245,134,11
1326,0.473153,-0.045651,0.003258,1.300498,249,136,11
1327,0.480812,-0.079653,0.003261,1.300499,251,140,10
1328,0.485028,-0.098381,0.003262,1.300499,247,139,9
1329,0.492659,-0.132267,0.003265,1.300500,252,143,11
1330,0.499904,-0.164508,0.003268,1.300500,254,144,11
1331,0.505468,-0.189308,0.003270,1.300501,252,145,9
1332,0.511927,-0.218057,0.003272,1.300501,255,149,8
1333,0.518179,-0.245937,0.003275,1.300502,256,148,11
1334,0.525922,-0.280521,0.003277,1.300502,257,151,11
1335,0.531534,-0.305591,0.003280,1.300503,259,151,10
1336,0.539239,-0.335842,0.003282,1.300503,260,153,9
1337,0.549880,-0.341906,0.003285,1.300504,261,156,7
1338,0.557018,-0.346070,0.003286,1.300504,200,148,9
1339,0.564452,-0.348496,0.003289,1.300505,130,146,10
1340,0.568854,-0.347218,0.003291,1.300505,93,146,9
1341,0.568851,-0.347181,0.003294,1.300506,22,149,9
1342,0.568382,-0.347690,0.003297,1.300507,12,148,11
1343,0.568321,-0.347725,0.003299,1.300507,21,149,11
1344,0.568301,-0.347737,0.003301,1.300508,20,149,10
1345,0.568260,-0.347800,0.003303,1.300508,23,149,11
